Hora_local;Dia_ano;Irradiancia_teorica;Irradiancia_ajustada;Temperatura;P_pv_inst;E_total;E_pv;E_grid;CO2
14:36;52;766.97;312.54;29.5;0.616489;0.0333333;0.0102748;0.0230585;2.30585
14:37;52;764.27;311.44;29.5;0.614319;0.0333333;0.0102386;0.0230947;2.30947
14:38;52;761.556;310.334;29.5;0.612137;0.0333333;0.0102023;0.023131;2.3131
14:39;52;758.827;309.222;29.5;0.609944;0.0333333;0.0101657;0.0231676;2.31676
14:40;52;756.084;308.104;29.5;0.607739;0.0333333;0.010129;0.0232043;2.32043
14:41;52;753.327;306.981;29.5;0.605523;0.0333333;0.010092;0.0232413;2.32413
14:42;52;750.555;305.851;29.5;0.603295;0.0333333;0.0100549;0.0232784;2.32784
14:43;52;747.769;304.716;29.5;0.601056;0.0333333;0.0100176;0.0233157;2.33157
14:44;52;744.97;303.575;29.5;0.598805;0.0333333;0.00998009;0.0233532;2.33532
14:45;52;742.156;302.428;29.3;0.597424;0.0333333;0.00995706;0.0233763;2.33763
14:46;52;739.328;301.276;29.3;0.595147;0.0333333;0.00991912;0.0234142;2.34142
14:47;52;736.486;300.118;29.3;0.592859;0.0333333;0.00988099;0.0234523;2.34523
14:48;52;733.63;298.954;29.3;0.59056;0.0333333;0.00984267;0.0234907;2.34907
14:49;52;730.76;297.785;29.3;0.58825;0.0333333;0.00980417;0.0235292;2.35292
14:50;52;727.876;296.61;29.3;0.585929;0.0333333;0.00976548;0.0235678;2.35678
14:51;52;724.979;295.429;29.3;0.583597;0.0333333;0.00972661;0.0236067;2.36067
14:51;52;724.979;295.429;29.3;0.583597;0.0333333;0.00972661;0.0236067;2.36067
14:52;52;722.068;294.243;29.3;0.581253;0.0333333;0.00968756;0.0236458;2.36458
14:53;52;719.143;293.051;29.3;0.578899;0.0333333;0.00964832;0.023685;2.3685
14:54;52;716.205;291.854;29.3;0.576534;0.0333333;0.00960889;0.0237244;2.37244
14:55;52;713.253;290.651;29.3;0.574157;0.0333333;0.00956929;0.023764;2.3764
14:56;52;710.288;289.442;29.3;0.57177;0.0333333;0.00952951;0.0238038;2.38038
14:57;52;707.309;288.228;29.3;0.569373;0.0333333;0.00948954;0.0238438;2.38438
14:58;52;704.317;287.009;29.3;0.566964;0.0333333;0.0094494;0.0238839;2.38839
14:59;52;701.311;285.784;29.3;0.564545;0.0333333;0.00940908;0.0239243;2.39243
15:0;52;698.293;165.845;29.2;0.327867;0.0333333;0.00546445;0.0278689;2.78689
15:1;52;695.261;165.124;29.2;0.326444;0.0333333;0.00544073;0.0278926;2.78926
15:2;52;692.216;164.401;29.2;0.325014;0.0333333;0.0054169;0.0279164;2.79164
15:3;52;689.158;163.675;29.2;0.323578;0.0333333;0.00539297;0.0279404;2.79404
15:4;52;686.086;162.946;29.2;0.322136;0.0333333;0.00536893;0.0279644;2.79644
15:5;52;683.002;162.213;29.2;0.320688;0.0333333;0.0053448;0.0279885;2.79885
15:6;52;679.905;161.477;29.2;0.319234;0.0333333;0.00532056;0.0280128;2.80128
15:7;52;676.795;160.739;29.2;0.317774;0.0333333;0.00529623;0.0280371;2.80371
15:8;52;673.673;159.997;29.2;0.316307;0.0333333;0.00527179;0.0280615;2.80615
15:9;52;670.537;159.253;29.2;0.314835;0.0333333;0.00524725;0.0280861;2.80861
15:9;52;670.537;159.253;29.2;0.314835;0.0333333;0.00524725;0.0280861;2.80861
15:10;52;667.389;158.505;29.2;0.313357;0.0333333;0.00522262;0.0281107;2.81107
15:11;52;664.228;157.754;29.2;0.311873;0.0333333;0.00519789;0.0281354;2.81354
15:12;52;661.055;157.001;29.2;0.310383;0.0333333;0.00517305;0.0281603;2.81603
15:13;52;657.869;156.244;29.2;0.308887;0.0333333;0.00514812;0.0281852;2.81852
15:14;52;654.671;155.484;29.2;0.307386;0.0333333;0.0051231;0.0282102;2.82102
15:15;52;651.461;154.722;28.9;0.306372;0.0333333;0.0051062;0.0282271;2.82271
15:16;52;648.238;153.956;28.9;0.304857;0.0333333;0.00508094;0.0282524;2.82524
15:17;52;645.003;153.188;28.9;0.303335;0.0333333;0.00505559;0.0282777;2.82777
15:18;52;641.755;152.417;28.9;0.301808;0.0333333;0.00503013;0.0283032;2.83032
15:19;52;638.496;151.643;28.9;0.300275;0.0333333;0.00500459;0.0283287;2.83287
15:20;52;635.224;150.866;28.9;0.298737;0.0333333;0.00497894;0.0283544;2.83544
15:21;52;631.941;150.086;28.9;0.297192;0.0333333;0.00495321;0.0283801;2.83801
15:22;52;628.646;149.303;28.9;0.295643;0.0333333;0.00492738;0.028406;2.8406
15:23;52;625.338;148.518;28.9;0.294087;0.0333333;0.00490145;0.0284319;2.84319
15:24;52;622.019;147.73;28.9;0.292526;0.0333333;0.00487544;0.0284579;2.84579
15:25;52;618.688;146.938;28.9;0.29096;0.0333333;0.00484933;0.028484;2.8484
15:25;52;618.688;146.938;28.9;0.29096;0.0333333;0.00484933;0.028484;2.8484
15:26;52;615.346;146.145;28.9;0.289388;0.0333333;0.00482313;0.0285102;2.85102
15:27;52;611.992;145.348;28.9;0.287811;0.0333333;0.00479684;0.0285365;2.85365
15:28;52;608.626;144.549;28.9;0.286228;0.0333333;0.00477046;0.0285629;2.85629
15:29;52;605.249;143.747;28.9;0.284639;0.0333333;0.00474399;0.0285893;2.85893
15:30;52;601.86;142.942;28.6;0.283525;0.0333333;0.00472541;0.0286079;2.86079
15:31;52;598.46;142.134;28.6;0.281923;0.0333333;0.00469872;0.0286346;2.86346
15:32;52;595.049;141.324;28.6;0.280316;0.0333333;0.00467193;0.0286614;2.86614
15:33;52;591.626;140.511;28.6;0.278704;0.0333333;0.00464506;0.0286883;2.86883
15:34;52;588.193;139.696;28.6;0.277086;0.0333333;0.0046181;0.0287152;2.87152
15:35;52;584.748;138.878;28.6;0.275463;0.0333333;0.00459106;0.0287423;2.87423
15:36;52;581.292;138.057;28.6;0.273835;0.0333333;0.00456392;0.0287694;2.87694
15:37;52;577.825;137.233;28.6;0.272202;0.0333333;0.00453671;0.0287966;2.87966
15:38;52;574.347;136.407;28.6;0.270564;0.0333333;0.0045094;0.0288239;2.88239
15:39;52;570.859;135.579;28.6;0.268921;0.0333333;0.00448201;0.0288513;2.88513
15:40;52;567.359;134.748;28.6;0.267272;0.0333333;0.00445454;0.0288788;2.88788
15:41;52;563.849;133.914;28.6;0.265619;0.0333333;0.00442698;0.0289064;2.89064
15:42;52;560.329;133.078;28.6;0.26396;0.0333333;0.00439934;0.028934;2.8934
15:42;52;560.329;133.078;28.6;0.26396;0.0333333;0.00439934;0.028934;2.8934
15:43;52;556.797;132.239;28.6;0.262297;0.0333333;0.00437161;0.0289617;2.89617
15:44;52;553.256;131.398;28.6;0.260628;0.0333333;0.0043438;0.0289895;2.89895
15:45;52;549.703;130.555;28.4;0.259274;0.0333333;0.00432123;0.0290121;2.90121
15:46;52;546.141;129.708;28.4;0.257594;0.0333333;0.00429323;0.0290401;2.90401
15:47;52;542.568;128.86;28.4;0.255908;0.0333333;0.00426514;0.0290682;2.90682
15:48;52;538.985;128.009;28.4;0.254218;0.0333333;0.00423697;0.0290964;2.90964
15:49;52;535.392;127.156;28.4;0.252524;0.0333333;0.00420873;0.0291246;2.91246
15:50;52;531.788;126.3;28.4;0.250824;0.0333333;0.0041804;0.0291529;2.91529
15:51;52;528.175;125.442;28.4;0.24912;0.0333333;0.00415199;0.0291813;2.91813
15:52;52;524.551;124.581;28.4;0.247411;0.0333333;0.00412351;0.0292098;2.92098
15:53;52;520.918;123.718;28.4;0.245697;0.0333333;0.00409495;0.0292384;2.92384
15:54;52;517.275;122.853;28.4;0.243979;0.0333333;0.00406631;0.029267;2.9267
15:55;52;513.622;121.985;28.4;0.242256;0.0333333;0.0040376;0.0292957;2.92957
15:56;52;509.96;121.115;28.4;0.240528;0.0333333;0.00400881;0.0293245;2.93245
15:57;52;506.288;120.243;28.4;0.238796;0.0333333;0.00397994;0.0293534;2.93534
15:58;52;502.606;119.369;28.4;0.23706;0.0333333;0.003951;0.0293823;2.93823
15:59;52;498.915;118.492;28.4;0.235319;0.0333333;0.00392198;0.0294114;2.94114
15:59;52;498.915;118.492;28.4;0.235319;0.0333333;0.00392198;0.0294114;2.94114
16:0;52;495.214;117.613;28.2;0.233861;0.0333333;0.00389768;0.0294356;2.94356
16:1;52;491.504;116.732;28.2;0.232109;0.0333333;0.00386848;0.0294648;2.94648
16:2;52;487.785;115.849;28.2;0.230353;0.0333333;0.00383921;0.0294941;2.94941
16:3;52;484.057;114.963;28.2;0.228592;0.0333333;0.00380987;0.0295235;2.95235
16:4;52;480.319;114.076;28.2;0.226827;0.0333333;0.00378045;0.0295529;2.95529
16:5;52;476.573;113.186;28.2;0.225058;0.0333333;0.00375096;0.0295824;2.95824
